sample_id,class,class_id,split,color_rel,segmented_rel,image_width,image_height,xmin,ymin,xmax,ymax,x_center,y_center,box_width,box_height,box_area_ratio,manual_qc_decision,manual_qc_reason
7501a9785d782859,Grape___Black_rot,11,test,color/Grape___Black_rot/82f7d3a6-0f57-44bc-93b8-2191b9ae36c0___FAM_B.Rot 3513.JPG,segmented/Grape___Black_rot/82f7d3a6-0f57-44bc-93b8-2191b9ae36c0___FAM_B.Rot 3513_final_masked.jpg,256,256,102,21,139,48,0.470703125,0.134765625,0.14453125,0.10546875,0.0152435302734375,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
3f1ac04f5c618dbf,Tomato___Septoria_leaf_spot,32,train,color/Tomato___Septoria_leaf_spot/8b9ca191-719d-40cf-9077-89d9534dee6b___JR_Sept.L.S 8457.JPG,segmented/Tomato___Septoria_leaf_spot/8b9ca191-719d-40cf-9077-89d9534dee6b___JR_Sept.L.S 8457_final_masked.jpg,256,256,80,19,122,48,0.39453125,0.130859375,0.1640625,0.11328125,0.018585205078125,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
71c0c154b7c65ff8,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),13,train,color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/653f5793-c2ba-4e10-91a1-c1eb22791868___FAM_L.Blight 3634.JPG,segmented/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/653f5793-c2ba-4e10-91a1-c1eb22791868___FAM_L.Blight 3634_final_masked.jpg,256,256,107,12,167,33,0.53515625,0.087890625,0.234375,0.08203125,0.01922607421875,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
c9379cc7987680db,"Pepper,_bell___healthy",19,train,"color/Pepper,_bell___healthy/fa07a6ab-030d-46dd-bca0-ae32ccdbf5c3___JR_HL 7564.JPG","segmented/Pepper,_bell___healthy/fa07a6ab-030d-46dd-bca0-ae32ccdbf5c3___JR_HL 7564_final_masked.jpg",256,256,129,4,192,48,0.626953125,0.1015625,0.24609375,0.171875,0.04229736328125,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
4a42a4eff988c72d,Tomato___Septoria_leaf_spot,32,train,color/Tomato___Septoria_leaf_spot/85bec8de-5658-4162-8755-6ff26766a07d___Matt.S_CG 2724.JPG,segmented/Tomato___Septoria_leaf_spot/85bec8de-5658-4162-8755-6ff26766a07d___Matt.S_CG 2724_final_masked.jpg,256,256,104,8,178,46,0.55078125,0.10546875,0.2890625,0.1484375,0.04290771484375,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
5140be51a45a313d,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),13,train,color/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/7f7a4bf4-a29f-4735-8ad8-246d379040a4___FAM_L.Blight 1642.JPG,segmented/Grape___Leaf_blight_(Isariopsis_Leaf_Spot)/7f7a4bf4-a29f-4735-8ad8-246d379040a4___FAM_L.Blight 1642_final_masked.jpg,256,256,78,3,154,56,0.453125,0.115234375,0.296875,0.20703125,0.06146240234375,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
6e132ad00f15470a,"Pepper,_bell___healthy",19,train,"color/Pepper,_bell___healthy/4cdfdfb8-1efa-4a4f-af25-1e968c3aa38c___JR_HL 7607.JPG","segmented/Pepper,_bell___healthy/4cdfdfb8-1efa-4a4f-af25-1e968c3aa38c___JR_HL 7607_final_masked.jpg",256,256,57,0,136,53,0.376953125,0.103515625,0.30859375,0.20703125,0.0638885498046875,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
10d87785c73ff58d,"Pepper,_bell___healthy",19,train,"color/Pepper,_bell___healthy/b3f3c64e-d3f1-42e9-9c6f-51ab8ab36a4d___JR_HL 7717.JPG","segmented/Pepper,_bell___healthy/b3f3c64e-d3f1-42e9-9c6f-51ab8ab36a4d___JR_HL 7717_final_masked.jpg",256,256,94,0,162,64,0.5,0.125,0.265625,0.25,0.06640625,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
1b1ad92f5b833443,Grape___Black_rot,11,test,color/Grape___Black_rot/cbb4d713-716e-49a8-82d7-ba2cafa330cb___FAM_B.Rot 0638.JPG,segmented/Grape___Black_rot/cbb4d713-716e-49a8-82d7-ba2cafa330cb___FAM_B.Rot 0638_final_masked.jpg,256,256,97,17,180,75,0.541015625,0.1796875,0.32421875,0.2265625,0.073455810546875,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
47082f0fa16d7509,Grape___Black_rot,11,train,color/Grape___Black_rot/f075d48a-3ed3-4e9e-afd0-c0db4c15a39f___FAM_B.Rot 3572.JPG,segmented/Grape___Black_rot/f075d48a-3ed3-4e9e-afd0-c0db4c15a39f___FAM_B.Rot 3572_final_masked.jpg,256,256,75,13,165,70,0.46875,0.162109375,0.3515625,0.22265625,0.078277587890625,EXCLUDE,Mask-derived bounding box covers only a small portion of the visible leaf and is not valid full-leaf detection supervision.
