class_name,precision,recall,f1-score,support,test_view
Apple___Apple_scab,1.0,1.0,1.0,63.0,original
Apple___Black_rot,1.0,1.0,1.0,62.0,original
Apple___Cedar_apple_rust,1.0,1.0,1.0,27.0,original
Apple___healthy,1.0,1.0,1.0,165.0,original
Blueberry___healthy,1.0,1.0,1.0,150.0,original
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,105.0,original
Cherry_(including_sour)___healthy,1.0,1.0,1.0,85.0,original
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1.0,0.9607843137254902,0.98,51.0,original
Corn_(maize)___Common_rust_,1.0,0.9666666666666667,0.9830508474576272,120.0,original
Corn_(maize)___Northern_Leaf_Blight,0.9514563106796117,1.0,0.9751243781094527,98.0,original
Corn_(maize)___healthy,1.0,1.0,1.0,116.0,original
Grape___Black_rot,1.0,1.0,1.0,118.0,original
Grape___Esca_(Black_Measles),1.0,1.0,1.0,139.0,original
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108.0,original
Grape___healthy,1.0,1.0,1.0,42.0,original
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,551.0,original
Peach___Bacterial_spot,1.0,1.0,1.0,230.0,original
Peach___healthy,1.0,1.0,1.0,36.0,original
"Pepper,_bell___Bacterial_spot",0.99,1.0,0.9949748743718593,99.0,original
"Pepper,_bell___healthy",1.0,1.0,1.0,148.0,original
Potato___Early_blight,1.0,1.0,1.0,100.0,original
Potato___Late_blight,1.0,1.0,1.0,100.0,original
Potato___healthy,1.0,1.0,1.0,15.0,original
Raspberry___healthy,1.0,1.0,1.0,37.0,original
Soybean___healthy,1.0,0.9980353634577603,0.9990167158308751,509.0,original
Squash___Powdery_mildew,1.0,1.0,1.0,184.0,original
Strawberry___Leaf_scorch,1.0,1.0,1.0,111.0,original
Strawberry___healthy,1.0,1.0,1.0,45.0,original
Tomato___Bacterial_spot,1.0,1.0,1.0,213.0,original
Tomato___Early_blight,0.9900990099009901,1.0,0.9950248756218906,100.0,original
Tomato___Late_blight,1.0,1.0,1.0,191.0,original
Tomato___Leaf_Mold,1.0,0.9894736842105263,0.9947089947089947,95.0,original
Tomato___Septoria_leaf_spot,0.9888268156424581,1.0,0.9943820224719101,177.0,original
Tomato___Spider_mites Two-spotted_spider_mite,0.9940828402366864,1.0,0.9970326409495549,168.0,original
Tomato___Target_Spot,1.0,0.9716312056737588,0.9856115107913669,141.0,original
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,536.0,original
Tomato___Tomato_mosaic_virus,0.9736842105263158,1.0,0.9866666666666667,37.0,original
Tomato___healthy,0.99375,1.0,0.9968652037617555,159.0,original
accuracy,0.9977904621616646,0.9977904621616646,0.9977904621616646,0.9977904621616646,original
macro avg,0.9968920838680543,0.9970155587824792,0.9969068087037356,5431.0,original
weighted avg,0.9978500181835118,0.9977904621616646,0.9977898568354514,5431.0,original
Apple___Apple_scab,1.0,1.0,1.0,63.0,leaf_only
Apple___Black_rot,1.0,1.0,1.0,62.0,leaf_only
Apple___Cedar_apple_rust,1.0,0.9629629629629629,0.9811320754716981,27.0,leaf_only
Apple___healthy,1.0,0.9696969696969697,0.9846153846153847,165.0,leaf_only
Blueberry___healthy,1.0,1.0,1.0,150.0,leaf_only
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,105.0,leaf_only
Cherry_(including_sour)___healthy,1.0,1.0,1.0,85.0,leaf_only
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1.0,0.9411764705882353,0.9696969696969697,51.0,leaf_only
Corn_(maize)___Common_rust_,1.0,0.9916666666666667,0.99581589958159,120.0,leaf_only
Corn_(maize)___Northern_Leaf_Blight,0.9514563106796117,1.0,0.9751243781094527,98.0,leaf_only
Corn_(maize)___healthy,1.0,1.0,1.0,116.0,leaf_only
Grape___Black_rot,1.0,1.0,1.0,118.0,leaf_only
Grape___Esca_(Black_Measles),1.0,1.0,1.0,139.0,leaf_only
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108.0,leaf_only
