class_id,class_name,YOLOv8n_mAP50-95,YOLOv8n_Precision,YOLOv8n_Recall,YOLOv8n_F1,YOLOv8n_mAP50,YOLOv8s_mAP50-95,YOLOv8s_Precision,YOLOv8s_Recall,YOLOv8s_F1,YOLOv8s_mAP50,YOLO11n_mAP50-95,YOLO11n_Precision,YOLO11n_Recall,YOLO11n_F1,YOLO11n_mAP50
0,Apple___Apple_scab,0.9848334523519248,0.98414823857386,0.9854872687270392,0.9848172984896484,0.994375,0.9866982209622416,1.0,0.9868756045958144,0.9933944554083668,0.995,0.9829209956709956,1.0,0.9719388804988212,0.9857697823301296,0.995
1,Apple___Black_rot,0.9892570510341516,0.9948442305260836,1.0,0.9974154525977416,0.995,0.9936129032258064,0.9964154558776648,1.0,0.9982045099321478,0.995,0.993016129032258,0.9967429583775294,1.0,0.9983688227827195,0.995
2,Apple___Cedar_apple_rust,0.9904814814814816,0.994240178014939,1.0,0.9971117711655,0.995,0.9827320261437908,0.9902851763971195,1.0,0.9951188785817786,0.995,0.9726153846153844,0.9949484759601828,1.0,0.9974678423524768,0.995
3,Apple___healthy,0.9357351145819652,0.9932574292313364,0.993939393939394,0.993598294567298,0.9931212121212118,0.9670192222086592,1.0,0.9927008930509388,0.9963370784975732,0.995,0.9622958288499508,0.9924091209544909,0.987878787878788,0.9901387723626348,0.9946994773519164
4,Blueberry___healthy,0.986188007967968,1.0,0.9981196192438432,0.9990589248321038,0.995,0.9869965723791024,0.9993903355934828,1.0,0.9996950748457348,0.995,0.9864025970941253,1.0,0.997507280312674,0.9987520848049496,0.995
5,Cherry_(including_sour)___Powdery_mildew,0.9887640233949055,0.9978513660248184,1.0,0.9989245276141554,0.995,0.9731565266956068,1.0,0.9977523416330196,0.998874906403492,0.995,0.9811318052912344,1.0,0.9923103901609992,0.9961403555003396,0.995
6,Cherry_(including_sour)___healthy,0.9789232439129496,0.975503795935517,1.0,0.98760002176919,0.995,0.989931684389576,0.9970162506156598,1.0,0.998505896292321,0.995,0.983220940167949,0.9961555467974452,1.0,0.998074071327396,0.995
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9634951401692988,0.9920680002309348,0.9166666666666666,0.9528780323945816,0.9847579169598876,0.9803706709956708,0.9782486452418904,0.9369728260565188,0.9571659585633804,0.9862121212121212,0.9720460889545371,0.9430079257091034,0.9583333333333334,0.9506088657221812,0.98250986974867
8,Corn_(maize)___Common_rust_,0.9881472039946616,0.9981600923765984,1.0,0.999079199093996,0.995,0.9610322574300056,0.999230601294296,1.0,0.9996151525966008,0.995,0.9948833333333332,0.9987726944642856,1.0,0.9993859704311984,0.995
9,Corn_(maize)___Northern_Leaf_Blight,0.9912212693588072,0.9626754465923468,0.9787234042553192,0.9706330977485488,0.9924815458098132,0.9918161756009324,0.9870068023865576,1.0,0.9934609194101216,0.9940526315789474,0.9615123846986344,0.9783028114811438,0.9593556118758844,0.9687365750278656,0.9902765129607236
10,Corn_(maize)___healthy,0.98162474254777,0.9893243141320373,0.9913793103448276,0.990350746200742,0.9870689655172412,0.9830023351672792,0.9892348654735617,0.9913793103448276,0.9903059269956098,0.9869827586206896,0.9788320752367716,0.9896468623633268,0.9913793103448276,0.9905123288234476,0.9891379310344828
11,Grape___Black_rot,0.980324712643678,0.9975092780454806,1.0,0.998753086164908,0.995,0.980778125792791,0.9982899268076976,1.0,0.9991442316906264,0.995,0.9831589205397302,0.9983142833862696,1.0,0.9991564306837292,0.995
12,Grape___Esca_(Black_Measles),0.9803996281752188,0.9883744095486844,0.9907407407407408,0.9895561604914748,0.990925925925926,0.9798560305435906,0.9884781474137884,0.9907407407407408,0.98960815080733,0.993148148148148,0.9814020227296424,0.9884275127144516,0.9907407407407408,0.9895827748910626,0.9911111111111112
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9822035899685604,0.9950655972520726,1.0,0.9975266964882138,0.995,0.9849814814814812,0.9940508132188884,1.0,0.997016532005266,0.995,0.983611111111111,0.99465916892574,1.0,0.9973224342496888,0.995
14,Grape___healthy,0.9907106227106228,0.999685195522518,1.0,0.999842572981894,0.995,0.9898780487804878,0.9996165503162072,1.0,0.9998082383926398,0.995,0.986588512981904,0.9996648813364384,1.0,0.9998324125873844,0.995
15,Orange___Haunglongbing_(Citrus_greening),0.975130535696439,0.9989605902660575,1.0,0.9994800248994384,0.995,0.9759010046185178,0.9989811227031232,1.0,0.9994903016915442,0.995,0.9769438445913856,1.0,0.9987604763522404,0.9993798538332008,0.995
16,Peach___Bacterial_spot,0.9772067235850764,0.9956256221968548,1.0,0.9978080168171376,0.995,0.978214803850921,0.993335690030463,1.0,0.9966567046369218,0.995,0.980474739489473,0.9982844762717026,1.0,0.999141501748791,0.995
