epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9266,1.48289,3.73628,1.36014,0.43317,0.13651,0.08082,0.05545,1.16792,3.91013,1.23236,0.00033105,0.00033105,0.067226
2,130.172,1.47063,3.23252,1.34747,0.11043,0.325,0.14137,0.09283,1.21749,3.57636,1.33763,0.000620534,0.000620534,0.0341822
3,178.235,1.47898,2.97272,1.35375,0.20566,0.33185,0.17202,0.11689,1.26259,3.13999,1.35408,0.000866018,0.000866018,0.00109433
4,225.287,1.47282,2.79905,1.34689,0.24323,0.33237,0.21935,0.15319,1.22335,3.1599,1.3399,0.000802,0.000802,0.000802
5,272.095,1.42481,2.69378,1.33058,0.34051,0.3603,0.24458,0.17974,1.09642,2.63842,1.25825,0.000736,0.000736,0.000736
6,320.112,1.38301,2.67481,1.32604,0.3136,0.38879,0.29757,0.22717,1.05199,2.66164,1.23611,0.00067,0.00067,0.00067
7,365.697,1.34398,2.53806,1.30651,0.32545,0.43669,0.31627,0.23807,1.05666,2.38109,1.21485,0.000604,0.000604,0.000604
8,410.738,1.34052,2.44588,1.29388,0.36524,0.40887,0.32473,0.24448,1.03553,2.26743,1.19107,0.000538,0.000538,0.000538
9,455.98,1.30125,2.34427,1.27711,0.28732,0.4345,0.33678,0.24844,1.03712,2.17608,1.20688,0.000472,0.000472,0.000472
10,502.206,1.29547,2.27653,1.26599,0.40046,0.42374,0.3827,0.29511,0.99437,2.04612,1.16493,0.000406,0.000406,0.000406
11,547.667,1.2908,2.2179,1.27018,0.47284,0.44238,0.43804,0.34238,0.97587,1.93541,1.1611,0.00034,0.00034,0.00034
12,593.049,1.25937,2.15418,1.24396,0.39778,0.50038,0.43702,0.34166,0.97392,1.87647,1.13872,0.000274,0.000274,0.000274
13,637.431,1.24711,2.08811,1.23543,0.31245,0.54246,0.43794,0.34309,0.94914,1.82493,1.13439,0.000208,0.000208,0.000208
14,683.989,1.22561,2.02859,1.22242,0.42708,0.5016,0.46435,0.36511,0.95577,1.85349,1.13897,0.000142,0.000142,0.000142
15,729.132,1.21435,1.99562,1.21123,0.43441,0.51724,0.48812,0.38533,0.95531,1.79156,1.13693,7.6e-05,7.6e-05,7.6e-05
