epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.07,0.51923,1.81682,1.02109,0.43605,0.61784,0.54194,0.49488,0.36454,1.73844,0.84603,0.000333207,0.000333207,0.0670125
2,825.43,0.46865,1.05313,1.00005,0.69801,0.6807,0.72109,0.68573,0.2845,1.12245,0.78381,0.000633547,0.000633547,0.0339795
3,1228.39,0.44497,0.83945,0.98994,0.90448,0.88616,0.94384,0.90639,0.2419,0.37873,0.77092,0.000900887,0.000900887,0.000913475
4,1627.82,0.42152,0.71642,0.981,0.92,0.90319,0.96113,0.92884,0.22803,0.31948,0.76498,0.0008515,0.0008515,0.0008515
5,2025.16,0.40742,0.63513,0.97819,0.96731,0.93759,0.97214,0.9436,0.21227,0.23512,0.75779,0.000802,0.000802,0.000802
6,2422.93,0.39845,0.58148,0.97402,0.95831,0.98301,0.98896,0.96188,0.21592,0.22835,0.75863,0.0007525,0.0007525,0.0007525
7,2830.1,0.38985,0.54569,0.97162,0.92101,0.99472,0.98986,0.96465,0.20948,0.20882,0.75603,0.000703,0.000703,0.000703
8,3228.26,0.38438,0.51339,0.96966,0.97788,0.97921,0.99041,0.9682,0.19538,0.18037,0.74725,0.0006535,0.0006535,0.0006535
9,3626.4,0.37623,0.48594,0.96741,0.96684,0.98304,0.99167,0.97192,0.19071,0.16838,0.74688,0.000604,0.000604,0.000604
10,4026.86,0.37012,0.46339,0.96577,0.98695,0.98019,0.99307,0.97443,0.19236,0.16651,0.74755,0.0005545,0.0005545,0.0005545
11,4406.5,0.16114,0.2361,0.89409,0.98194,0.98227,0.99175,0.97231,0.19737,0.17706,0.74927,0.000505,0.000505,0.000505
12,4784.8,0.15261,0.20236,0.89414,0.9897,0.98313,0.99309,0.97561,0.19172,0.16144,0.74705,0.0004555,0.0004555,0.0004555
13,5160.78,0.14614,0.17716,0.89137,0.98657,0.9882,0.99255,0.97396,0.19175,0.15871,0.74695,0.000406,0.000406,0.000406
14,5542.27,0.14325,0.16601,0.88866,0.98352,0.9888,0.99303,0.9758,0.17989,0.14141,0.74005,0.0003565,0.0003565,0.0003565
15,5926.37,0.1386,0.15142,0.88799,0.99074,0.98838,0.99307,0.97668,0.18309,0.14657,0.74204,0.000307,0.000307,0.000307
16,6309.62,0.1348,0.13792,0.88554,0.99139,0.98923,0.99342,0.97666,0.18349,0.14701,0.74188,0.0002575,0.0002575,0.0002575
17,6698.04,0.13093,0.1266,0.88695,0.99232,0.98757,0.99329,0.97708,0.18412,0.14804,0.74193,0.000208,0.000208,0.000208
18,7084.7,0.12771,0.11725,0.88441,0.99094,0.98861,0.99336,0.9769,0.18399,0.14758,0.74191,0.0001585,0.0001585,0.0001585
19,7469.33,0.12387,0.10842,0.88235,0.99136,0.98812,0.99347,0.97678,0.18311,0.14641,0.74141,0.000109,0.000109,0.000109
20,7853.16,0.12138,0.09915,0.88213,0.99104,0.98993,0.99355,0.9771,0.18165,0.14366,0.74074,5.95e-05,5.95e-05,5.95e-05
