epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2861,1.47575,3.66585,1.33294,0.2952,0.15063,0.06609,0.04466,1.30169,4.07297,1.35051,0.00033105,0.00033105,0.067226
2,94.0357,1.45763,3.13353,1.317,0.18394,0.34244,0.15751,0.10801,1.15561,3.40199,1.28133,0.000620534,0.000620534,0.0341822
3,141.686,1.46065,2.89626,1.3283,0.1842,0.32819,0.15689,0.11667,1.21334,3.32321,1.34306,0.000866018,0.000866018,0.00109433
4,189.241,1.4468,2.7517,1.33403,0.20763,0.41469,0.24794,0.18323,1.12739,2.73089,1.27363,0.000802,0.000802,0.000802
5,236.785,1.41526,2.64058,1.31541,0.28137,0.37618,0.25048,0.18191,1.08703,2.55251,1.25535,0.000736,0.000736,0.000736
6,285.81,1.35721,2.60488,1.31283,0.17706,0.40911,0.27694,0.2109,1.06809,2.6025,1.23832,0.00067,0.00067,0.00067
7,332.489,1.32477,2.45348,1.28024,0.42919,0.39624,0.30872,0.24032,1.03403,2.38257,1.21561,0.000604,0.000604,0.000604
8,378.124,1.31815,2.36538,1.27417,0.3378,0.46115,0.33517,0.25398,1.03552,2.17185,1.21057,0.000538,0.000538,0.000538
9,422.84,1.2936,2.29075,1.26444,0.24947,0.41935,0.35578,0.27461,1.00653,2.10462,1.18164,0.000472,0.000472,0.000472
10,467.178,1.28252,2.19461,1.25329,0.39302,0.45615,0.39468,0.29935,1.03457,2.00284,1.20117,0.000406,0.000406,0.000406
11,511.258,1.26827,2.13699,1.25562,0.35316,0.50537,0.40112,0.3081,1.01093,1.90558,1.18846,0.00034,0.00034,0.00034
12,555.421,1.2446,2.05947,1.23411,0.38617,0.48052,0.45126,0.34909,0.97973,1.81169,1.1627,0.000274,0.000274,0.000274
13,598.791,1.22544,1.99639,1.22638,0.37734,0.50174,0.47494,0.37125,0.9641,1.73123,1.16715,0.000208,0.000208,0.000208
14,642.422,1.20846,1.93126,1.2111,0.36256,0.5362,0.47517,0.3641,0.97359,1.77351,1.16331,0.000142,0.000142,0.000142
15,684.957,1.19994,1.90115,1.19927,0.43262,0.48889,0.48081,0.37533,0.97931,1.70434,1.16814,7.6e-05,7.6e-05,7.6e-05
