epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.055,0.54722,1.7478,1.07091,0.60714,0.63658,0.67468,0.61445,0.46532,1.2873,1.04672,0.000333207,0.000333207,0.0670125
2,712.702,0.48703,1.04332,1.0409,0.68127,0.66682,0.72772,0.66949,0.39946,1.16051,0.93599,0.000633547,0.000633547,0.0339795
3,1063.58,0.45944,0.84131,1.02781,0.84522,0.87519,0.92465,0.89066,0.29304,0.45599,0.85857,0.000900887,0.000900887,0.000913475
4,1418.95,0.4353,0.72122,1.01629,0.9423,0.9244,0.98046,0.95089,0.2694,0.30846,0.84568,0.0008515,0.0008515,0.0008515
5,1770.15,0.41956,0.64109,1.01045,0.9645,0.9404,0.98722,0.96235,0.25893,0.26697,0.83293,0.000802,0.000802,0.000802
6,2121.18,0.40945,0.58776,1.00626,0.96482,0.9456,0.97767,0.95399,0.2612,0.25336,0.83415,0.0007525,0.0007525,0.0007525
7,2470.2,0.39832,0.55076,1.00143,0.93727,0.98344,0.99049,0.96915,0.24533,0.22778,0.82385,0.000703,0.000703,0.000703
8,2819.88,0.393,0.51938,0.99899,0.94643,0.98531,0.99191,0.9717,0.23321,0.21704,0.81081,0.0006535,0.0006535,0.0006535
9,3162.85,0.38558,0.49764,0.99488,0.94052,0.97981,0.98374,0.96394,0.23759,0.21268,0.81826,0.000604,0.000604,0.000604
10,3508.29,0.37776,0.4723,0.99327,0.96167,0.99009,0.99234,0.97424,0.22388,0.19369,0.80637,0.0005545,0.0005545,0.0005545
11,3829.05,0.17152,0.24392,0.91434,0.9781,0.9849,0.99258,0.97517,0.21579,0.17979,0.79563,0.000505,0.000505,0.000505
12,4157.68,0.16102,0.21002,0.91222,0.97547,0.99255,0.99289,0.97583,0.2058,0.16642,0.78797,0.0004555,0.0004555,0.0004555
13,4487.08,0.15356,0.18904,0.90814,0.97843,0.99016,0.99329,0.97674,0.20757,0.17078,0.7916,0.000406,0.000406,0.000406
14,4817.4,0.14764,0.17257,0.9037,0.9877,0.98641,0.99363,0.97892,0.19406,0.15518,0.77973,0.0003565,0.0003565,0.0003565
15,5137.49,0.14532,0.16201,0.9028,0.9826,0.99287,0.99334,0.97848,0.19949,0.16097,0.78275,0.000307,0.000307,0.000307
16,5460.64,0.13945,0.14821,0.90016,0.98782,0.99385,0.99337,0.97945,0.19693,0.15492,0.78067,0.0002575,0.0002575,0.0002575
17,5790.29,0.13557,0.13861,0.89956,0.99036,0.99399,0.99377,0.9787,0.19497,0.15089,0.77946,0.000208,0.000208,0.000208
18,6117.63,0.13167,0.12713,0.89739,0.99102,0.99337,0.99385,0.97843,0.19127,0.14792,0.77636,0.0001585,0.0001585,0.0001585
19,6444.19,0.12868,0.11957,0.89627,0.99133,0.99394,0.99387,0.97962,0.18669,0.14632,0.77224,0.000109,0.000109,0.000109
20,6768.24,0.1251,0.11144,0.89457,0.99226,0.99243,0.99399,0.98017,0.18669,0.14692,0.77207,5.95e-05,5.95e-05,5.95e-05
