epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8029,1.45832,3.22695,1.40828,0.3567,0.20626,0.1054,0.07355,1.22126,4.05244,1.36783,0.00033105,0.00033105,0.067226
2,91.8297,1.41734,2.75547,1.35902,0.16881,0.29084,0.13139,0.09082,1.1589,3.38227,1.38366,0.000620534,0.000620534,0.0341822
3,140.01,1.41603,2.64015,1.35257,0.3736,0.25356,0.21444,0.147,1.16527,2.7105,1.35867,0.000866018,0.000866018,0.00109433
4,187.811,1.40732,2.48026,1.34897,0.25369,0.40447,0.24247,0.16369,1.25254,2.73562,1.36109,0.000802,0.000802,0.000802
5,237.911,1.37971,2.38624,1.32304,0.34283,0.40322,0.3241,0.23331,1.10184,2.2235,1.28705,0.000736,0.000736,0.000736
6,290.517,1.34325,2.37952,1.31869,0.32747,0.31838,0.31899,0.23701,1.08912,2.35724,1.26348,0.00067,0.00067,0.00067
7,338.374,1.30475,2.1715,1.29121,0.53896,0.35907,0.35599,0.26672,1.05736,2.09437,1.25614,0.000604,0.000604,0.000604
8,385.182,1.28981,2.11213,1.28073,0.37344,0.52693,0.42403,0.31831,1.04643,2.01105,1.2256,0.000538,0.000538,0.000538
9,432.923,1.24979,1.97797,1.25728,0.31785,0.56114,0.47206,0.36116,1.00479,1.77985,1.18984,0.000472,0.000472,0.000472
10,481.82,1.21928,1.85728,1.23762,0.36805,0.56649,0.48814,0.37034,1.00639,1.62616,1.19292,0.000406,0.000406,0.000406
11,529.537,1.20738,1.7754,1.23869,0.47669,0.52781,0.5101,0.38411,1.00336,1.63002,1.18625,0.00034,0.00034,0.00034
12,577.072,1.19224,1.73042,1.22166,0.42555,0.54199,0.49396,0.37863,1.0101,1.64204,1.18018,0.000274,0.000274,0.000274
13,624.103,1.16275,1.63495,1.20198,0.43192,0.58836,0.53184,0.4173,0.96402,1.46128,1.16845,0.000208,0.000208,0.000208
14,672.7,1.13984,1.54615,1.18953,0.42284,0.62743,0.53323,0.41249,0.96087,1.4691,1.16099,0.000142,0.000142,0.000142
15,718.094,1.12426,1.48006,1.17466,0.46458,0.55874,0.5455,0.42592,0.95698,1.46581,1.16254,7.6e-05,7.6e-05,7.6e-05
