epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.085,0.54745,1.38882,1.09034,0.61977,0.64625,0.71662,0.65842,0.40747,1.38811,0.98374,0.000333207,0.000333207,0.0670125
2,730.233,0.48584,0.89244,1.05132,0.84716,0.81993,0.90227,0.85335,0.32864,0.58842,0.89464,0.000633547,0.000633547,0.0339795
3,1092.84,0.45417,0.74244,1.03494,0.91491,0.92729,0.97484,0.93024,0.29416,0.33259,0.87169,0.000900887,0.000900887,0.000913475
4,1452.54,0.42877,0.63307,1.02188,0.96575,0.93554,0.98848,0.95769,0.26027,0.27626,0.84509,0.0008515,0.0008515,0.0008515
5,1818.52,0.41167,0.57012,1.01651,0.98029,0.9579,0.99059,0.95876,0.26297,0.23657,0.84551,0.000802,0.000802,0.000802
6,2191.03,0.40194,0.52035,1.01037,0.95763,0.94804,0.97685,0.95314,0.24527,0.23404,0.82747,0.0007525,0.0007525,0.0007525
7,2558.9,0.38984,0.48622,1.0064,0.96785,0.9867,0.99282,0.97013,0.2299,0.18852,0.82134,0.000703,0.000703,0.000703
8,2930.93,0.38524,0.46169,1.00405,0.97767,0.98406,0.99276,0.97214,0.22049,0.18251,0.80822,0.0006535,0.0006535,0.0006535
9,3296.9,0.37519,0.4373,0.99926,0.9727,0.99221,0.99314,0.97267,0.22611,0.18953,0.81407,0.000604,0.000604,0.000604
10,3672.88,0.36887,0.41829,0.99806,0.96758,0.98757,0.99302,0.97437,0.21165,0.17387,0.80104,0.0005545,0.0005545,0.0005545
11,4019.77,0.16636,0.21733,0.91341,0.98411,0.99051,0.9929,0.97692,0.20592,0.17513,0.79661,0.000505,0.000505,0.000505
12,4358.8,0.1557,0.18895,0.91066,0.99009,0.99085,0.99313,0.97925,0.19359,0.15571,0.78421,0.0004555,0.0004555,0.0004555
13,4695.91,0.14663,0.16281,0.90454,0.99112,0.99068,0.99359,0.97839,0.19536,0.16596,0.78844,0.000406,0.000406,0.000406
14,5035.35,0.14162,0.15367,0.89974,0.991,0.99376,0.9939,0.97938,0.19828,0.16066,0.79122,0.0003565,0.0003565,0.0003565
15,5373.87,0.13779,0.13908,0.89993,0.99388,0.99096,0.99408,0.97752,0.19453,0.16081,0.78825,0.000307,0.000307,0.000307
16,5709.51,0.13327,0.12862,0.89662,0.99151,0.9928,0.99402,0.98076,0.19442,0.16309,0.79052,0.0002575,0.0002575,0.0002575
17,6052.74,0.12861,0.11961,0.89779,0.99271,0.99157,0.99398,0.98112,0.19811,0.17235,0.79253,0.000208,0.000208,0.000208
18,6393.1,0.12588,0.11097,0.89398,0.99283,0.99251,0.99389,0.98041,0.20061,0.17566,0.79637,0.0001585,0.0001585,0.0001585
19,6728.45,0.12134,0.102,0.89194,0.9929,0.9928,0.99392,0.98043,0.19999,0.17398,0.79649,0.000109,0.000109,0.000109
20,7070.75,0.11822,0.09426,0.89152,0.99414,0.99282,0.99407,0.98139,0.19798,0.17077,0.79468,5.95e-05,5.95e-05,5.95e-05
